                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.53918,                0.64323,                 1.0342,                 0.8448,                0.83292,                0.86479,                0.76792,                0.50367,                 0.7125,                0.98299,             0.00019326,             0.00019326,             0.00019326
                    123,                0.51592,                0.61734,                 1.0177,                0.84877,                0.83251,                0.86339,                0.76843,                0.50943,                0.72362,                0.98921,              0.0001909,              0.0001909,              0.0001909
                    124,                0.52974,                0.63724,                 1.0325,                0.83142,                0.84919,                0.86782,                0.77304,                0.49442,                0.73983,                0.98157,             0.00018854,             0.00018854,             0.00018854
                    125,                0.51994,                0.61756,                 1.0241,                0.83392,                0.83917,                0.86512,                0.76701,                0.49591,                0.72451,                0.98873,             0.00018619,             0.00018619,             0.00018619
                    126,                0.52882,                0.64036,                 1.0358,                0.81429,                0.82407,                0.85536,                0.75757,                0.50633,                0.72636,                0.98512,             0.00018383,             0.00018383,             0.00018383
                    127,                0.51945,                0.62567,                 1.0276,                0.84292,                0.80643,                0.85663,                0.75963,                0.49879,                0.72509,                0.98652,             0.00018148,             0.00018148,             0.00018148
                    128,                0.49949,                0.63765,                 1.0277,                0.86968,                0.79088,                0.86636,                0.77598,                0.48329,                0.71468,                0.97217,             0.00017912,             0.00017912,             0.00017912
                    129,                0.50075,                0.60269,                 1.0249,                0.82095,                0.83527,                0.86965,                 0.7773,                0.48163,                0.71502,                0.96589,             0.00017676,             0.00017676,             0.00017676
                    130,                0.51398,                0.61143,                 1.0268,                 0.8147,                0.86406,                0.87154,                0.78517,                0.47216,                0.68673,                0.96048,             0.00017441,             0.00017441,             0.00017441
                    131,                0.52432,                0.63785,                 1.0392,                0.82061,                0.85453,                0.86276,                0.77842,                0.48665,                0.71861,                0.96472,             0.00017205,             0.00017205,             0.00017205
                    132,                0.51949,                0.61735,                 1.0348,                0.80024,                0.86127,                0.86198,                0.77921,                0.47247,                0.71052,                0.95617,             0.00016969,             0.00016969,             0.00016969
                    133,                 0.5231,                0.63102,                 1.0425,                0.78917,                0.84954,                 0.8501,                0.76333,                0.47468,                0.71931,                0.96925,             0.00016734,             0.00016734,             0.00016734
                    134,                0.49815,                   0.62,                 1.0183,                0.86477,                0.82692,                0.86442,                0.76889,                0.48458,                0.70807,                0.96487,             0.00016498,             0.00016498,             0.00016498
                    135,                0.51886,                0.62973,                 1.0263,                0.82835,                0.85255,                0.86376,                0.77351,                0.48331,                 0.7041,                0.96663,             0.00016263,             0.00016263,             0.00016263
                    136,                0.50006,                0.60905,                 1.0218,                0.84984,                0.84628,                 0.8691,                0.77511,                0.48345,                0.69076,                0.97338,             0.00016027,             0.00016027,             0.00016027
                    137,                0.50736,                0.61391,                 1.0327,                0.83908,                0.85391,                0.86853,                0.77773,                0.48552,                0.70487,                 0.9737,             0.00015791,             0.00015791,             0.00015791
                    138,                0.49716,                0.60975,                 1.0212,                0.85896,                0.80708,                0.86493,                0.77386,                  0.485,                0.68223,                  0.971,             0.00015556,             0.00015556,             0.00015556
                    139,                0.49643,                0.60267,                 1.0134,                 0.8394,                0.84328,                0.86736,                0.77975,                0.48142,                0.69426,                0.96674,              0.0001532,              0.0001532,              0.0001532
                    140,                0.49331,                0.61041,                 1.0181,                0.85087,                0.84741,                0.87367,                0.78068,                0.48241,                0.70718,                0.97434,             0.00015084,             0.00015084,             0.00015084
                    141,                0.50141,                0.59529,                 1.0197,                0.82359,                0.85875,                0.85948,                0.76732,                 0.4876,                0.70431,                0.97321,             0.00014849,             0.00014849,             0.00014849
                    142,                0.51161,                0.62806,                 1.0364,                0.86389,                0.81839,                0.86934,                0.77159,                0.49065,                0.70737,                0.98044,             0.00014613,             0.00014613,             0.00014613
                    143,                0.50321,                0.60154,                 1.0291,                0.87015,                0.83157,                0.86739,                0.77742,                0.47252,                0.68743,                0.96907,             0.00014378,             0.00014378,             0.00014378
                    144,                0.50585,                0.60851,                 1.0276,                0.84092,                0.84318,                0.86914,                0.77519,                0.49465,                0.70335,                0.97579,             0.00014142,             0.00014142,             0.00014142
                    145,                0.50005,                0.60677,                 1.0262,                0.82805,                0.87041,                0.86954,                0.77434,                0.49018,                0.72406,                0.97981,             0.00013906,             0.00013906,             0.00013906
                    146,                0.50594,                0.59197,                 1.0198,                0.82653,                0.82388,                0.86562,                0.77876,                 0.4744,                0.69579,                0.96473,             0.00013671,             0.00013671,             0.00013671
                    147,                0.48877,                0.57316,                  1.021,                0.81858,                0.84373,                0.86551,                0.78291,                 0.4605,                 0.6977,                0.95523,             0.00013435,             0.00013435,             0.00013435
                    148,                0.49904,                0.58411,                 1.0183,                0.81014,                0.84597,                0.86859,                0.78652,                0.46317,                0.67127,                 0.9536,             0.00013199,             0.00013199,             0.00013199
